frame_num,tracker_id,xmin,ymin,xmax,ymax
84,3,1194,496,1448,1033
84,5,1043,114,1235,568
84,6,793,253,940,572
85,1,1616,182,1796,531
85,2,1357,218,1564,548
85,3,1215,506,1470,1046
85,5,1044,115,1234,570
85,6,786,253,938,585
86,1,1620,181,1798,530
86,2,1355,217,1568,556
86,3,1234,511,1490,1053
86,5,1046,117,1231,567
86,6,786,255,941,589
87,1,1624,181,1799,530
87,2,1352,216,1574,566
87,3,1259,525,1512,1059
87,5,1049,118,1231,566
87,6,785,254,941,592
88,1,1625,186,1795,526
88,2,1352,217,1576,568
88,3,1283,541,1530,1059
88,5,1051,121,1229,566
88,6,778,254,931,592
89,1,1628,183,1798,529
89,2,1353,215,1578,567
89,3,1319,558,1550,1036
89,5,1051,119,1228,570
89,6,774,253,924,592
90,1,1629,187,1796,525
90,2,1353,215,1579,565
90,3,1345,571,1583,1057
90,5,1051,120,1227,573
90,6,776,250,925,594
91,1,1628,189,1795,526
91,2,1352,215,1580,566
91,3,1378,589,1623,1075
91,5,1051,123,1226,577
91,6,773,250,917,594
92,1,1628,190,1795,526
92,2,1351,214,1579,567
92,3,1397,615,1645,1078
92,5,1046,123,1225,595
92,6,777,249,920,596
93,1,1626,189,1796,531
93,2,1349,214,1577,566
93,3,1403,632,1662,1079
93,5,1046,125,1224,599
93,6,777,249,917,598
94,1,1624,189,1796,533
94,2,1348,214,1576,566
94,3,1405,644,1673,1082
94,5,1043,126,1221,601
94,6,782,253,918,600
95,1,1623,189,1796,535
95,2,1349,215,1577,565
95,3,1421,661,1694,1078
95,5,1043,129,1219,601
95,6,784,251,920,603
96,1,1623,187,1798,535
96,2,1349,215,1577,565
96,3,1489,666,1763,1078
96,5,1046,132,1219,597
96,6,787,250,921,604
97,1,1624,188,1800,536
97,2,1348,215,1578,565
97,3,1545,668,1819,1081
97,5,1049,140,1221,599
97,6,789,240,915,578
98,1,1625,189,1800,536
98,2,1348,215,1578,565
98,3,1562,678,1836,1082
98,5,1049,146,1221,598
98,6,790,235,909,561
99,1,1626,189,1802,535
99,2,1348,214,1578,565
99,3,1576,700,1847,1082
99,5,1053,148,1225,598
99,6,792,234,906,550
100,1,1626,189,1801,535
100,2,1348,214,1579,565
100,3,1581,715,1856,1081
100,5,1055,151,1230,600
100,6,795,239,904,545
101,1,1626,190,1802,536
101,2,1349,213,1579,565
101,3,1586,730,1863,1081
101,5,1055,154,1233,603
101,6,796,253,898,540
102,1,1626,189,1803,536
102,2,1349,213,1578,565
102,3,1610,743,1880,1084
102,5,1057,156,1237,602
102,6,790,248,896,547
103,1,1626,189,1803,537
103,2,1348,213,1577,565
103,5,1058,157,1242,602
103,6,794,246,901,550
104,1,1626,190,1803,537
104,2,1349,213,1579,565
104,5,1058,157,1243,600
104,6,797,247,906,552
105,1,1626,190,1803,537
105,2,1349,213,1580,565
105,5,1057,159,1244,600
105,6,796,246,905,552
106,1,1625,188,1803,538
106,2,1349,215,1581,565
106,5,1055,161,1244,600
106,6,790,244,901,554
107,1,1625,188,1802,536
107,2,1348,215,1581,565
107,5,1052,161,1243,602
107,6,790,245,899,551
108,1,1625,190,1801,536
108,2,1347,215,1581,565
108,5,1051,163,1243,602
108,6,786,245,897,556
109,1,1624,191,1800,537
109,2,1346,215,1581,566
109,5,1052,162,1246,603
109,6,784,245,895,556
110,1,1625,191,1800,536
110,2,1346,215,1582,566
110,5,1051,162,1247,603
110,6,781,245,894,563
111,1,1625,191,1799,536
111,2,1345,215,1581,566
111,5,1053,162,1250,601
111,6,775,243,895,589
112,1,1625,190,1798,536
112,2,1346,215,1582,566
112,5,1053,160,1252,600
112,6,778,243,892,576
113,1,1626,188,1798,535
113,2,1346,215,1582,566
113,5,1050,157,1252,601
113,6,780,243,889,567
114,1,1627,188,1796,533
114,2,1346,215,1581,565
114,5,1047,153,1250,600
114,6,781,241,892,570
115,1,1626,187,1796,533
115,2,1347,214,1582,565
115,5,1043,152,1247,599
115,6,792,241,907,569
116,1,1627,187,1795,533
116,2,1346,214,1580,565
116,5,1040,151,1241,595
116,6,798,242,915,568
117,1,1628,184,1794,532
117,2,1346,214,1580,565
117,5,1037,149,1238,595
117,6,784,244,905,588
118,1,1628,183,1794,532
118,2,1345,213,1580,565
118,5,1037,146,1237,596
118,6,787,244,913,601
119,1,1629,182,1793,532
119,2,1345,213,1579,565
119,5,1036,136,1234,592
119,6,795,246,925,603
120,1,1630,182,1792,531
120,2,1346,213,1581,565
120,5,1033,131,1230,593
120,6,792,247,921,603
121,1,1632,183,1792,531
121,2,1345,215,1581,566
121,5,1033,125,1228,595
121,6,793,249,923,602
122,1,1633,184,1791,530
122,2,1346,215,1582,566
122,5,1031,121,1227,603
122,6,803,251,927,568
123,1,1634,186,1791,529
123,2,1344,215,1581,566
123,5,1029,115,1225,609
123,6,797,249,920,561
124,1,1634,189,1789,525
124,2,1343,215,1581,566
124,5,1027,110,1222,612
124,6,802,249,927,555
125,1,1634,191,1789,524
125,2,1344,216,1582,566
125,5,1028,108,1220,612
125,6,797,252,935,585
126,1,1635,191,1790,523
126,2,1344,215,1583,566
126,5,1030,105,1219,611
126,6,794,251,938,598
127,1,1637,193,1793,521
127,2,1344,215,1584,566
127,5,1032,104,1217,609
127,6,785,252,929,603
128,1,1637,194,1796,523
128,2,1343,215,1584,566
128,5,1034,105,1216,608
128,6,779,251,920,604
129,1,1636,194,1799,526
129,2,1343,216,1585,566
129,5,1036,106,1215,607
129,6,777,251,914,602
130,1,1635,192,1801,528
130,2,1343,217,1586,566
130,5,1038,105,1214,606
130,6,783,252,907,572
131,1,1633,193,1804,534
131,2,1344,217,1587,566
131,5,1041,105,1214,602
131,6,781,254,907,585
132,1,1633,198,1806,537
